     Time[s]      Injection_Rate[m^3/s]
  0.13072407E+08  0.54377299E-07
  0.13150685E+08  0.54350621E-07
  0.13228963E+08  0.54321796E-07
  0.13307241E+08  0.54289694E-07
  0.13385519E+08  0.54254749E-07
  0.13463796E+08  0.54222098E-07
  0.13542074E+08  0.54191738E-07
  0.13620352E+08  0.54163674E-07
  0.13698630E+08  0.54137906E-07
  0.13776908E+08  0.54114433E-07
  0.13855186E+08  0.54093257E-07
  0.13933464E+08  0.54074376E-07
  0.14011742E+08  0.54057792E-07
  0.14090020E+08  0.54043727E-07
  0.14168297E+08  0.54033593E-07
  0.14246575E+08  0.54024024E-07
  0.14324853E+08  0.54013154E-07
  0.14403131E+08  0.54000983E-07
  0.14481409E+08  0.53987512E-07
  0.14559687E+08  0.53972740E-07
  0.14637965E+08  0.53956668E-07
  0.14716243E+08  0.53939295E-07
  0.14794521E+08  0.53920621E-07
  0.14872798E+08  0.53900646E-07
  0.14951076E+08  0.53878425E-07
  0.15029354E+08  0.53853892E-07
  0.15107632E+08  0.53830801E-07
  0.15185910E+08  0.53809152E-07
  0.15264188E+08  0.53788945E-07
  0.15342466E+08  0.53770181E-07
  0.15420744E+08  0.53752860E-07
  0.15499022E+08  0.53736980E-07
  0.15577299E+08  0.53722543E-07
  0.15655577E+08  0.53709549E-07
  0.15733855E+08  0.53698135E-07
  0.15812133E+08  0.53689635E-07
  0.15890411E+08  0.53681763E-07
  0.15968689E+08  0.53673002E-07
  0.16046967E+08  0.53663349E-07
  0.16125245E+08  0.53652807E-07
  0.16203523E+08  0.53641374E-07
  0.16281800E+08  0.53629050E-07
  0.16360078E+08  0.53615836E-07
  0.16438356E+08  0.53601732E-07
  0.16516634E+08  0.53586738E-07
  0.16594912E+08  0.53570056E-07
  0.16673190E+08  0.53551354E-07
  0.16751468E+08  0.53533655E-07
  0.16829746E+08  0.53516959E-07
  0.16908023E+08  0.53501261E-07
  0.16986301E+08  0.53486568E-07
  0.17064579E+08  0.53472878E-07
  0.17142857E+08  0.53460191E-07
  0.17221135E+08  0.53448507E-07
  0.17299413E+08  0.53437827E-07
